VSAV 6946	101	ALTKIRCH	SDIS	23/11/2004	6946 YM 68	Gasoil
VSAV 213	742	BURNHAUPT LE BAS	SDIS	01/10/2007	213 ZJ 68	Gasoil
VSAV 595	102	CERNAY	SDIS	22/10/2002	595 XY 68	Gasoil
VSAV 1527	34	COLMAR	SDIS	30/07/2008	1527 ZQ 68	Gasoil
VSAV 210		COLMAR	SDIS	01/10/2007	210 ZJ 68	Gasoil
VSAV 99		COLMAR	SDIS	03/08/2008	99 ZA 68	Gasoil
VSAV 8422		COLMAR (réserve)	SDIS	15/10/1998	8422 WR 68	Essence
VSAV 5241	749	DANNEMARIE	SDIS	08/08/2000	5241 XF 68	Gasoil
VSAV 96	763	ENSISHEIM	SDIS	07/08/2006	96 ZA 68	Gasoil
VSAV 591	772	FESSENHEIM	SDIS	22/10/2002	591 XY 68	Gasoil
VSAV 95	104	GUEBWILLER	SDIS	03/08/2006	95 ZA 68	Gasoil
VSAV 2414	818	HIRSINGUE	SDIS	29/07/2005	2414 YS 68	Gasoil
VSAV 1523	834	ILLZACH	SDIS	30/07/2008	1523 ZQ 68	Gasoil
VSAV 6757	842	KAYSERSBERG	SDIS	30/06/2003	6757 YC 68	Gasoil
VSAV 4568	855	LAPOUTROIE	SDIS	11/01/2002	4568 XR 68	Gasoil
VSAV 594	877	MAGSTATT LE BAS	SDIS	22/10/2002	594 XY 68	Gasoil
VSAV 2417	881	MASEVAUX	SDIS	29/07/2005	2417 YS 68	Gasoil
VSAV 102	2	MULHOUSE 	SDIS	03/08/2006	102 ZA 68	Gasoil
VSAV 1524		MULHOUSE	SDIS	30/07/2008	1524 ZQ 68	Gasoil
VSAV 214		MULHOUSE	SDIS	01/10/2007	214 ZJ 68	Gasoil
VSAV 5235		MULHOUSE (réserve)	SDIS	08/08/2000	5235 XF 68	Gasoil
VSAV 593	904	MUNSTER	SDIS	22/10/2002	593 XY 68	Gasoil
VSAV 588	909	NEUF-BRISACH	SDIS	22/10/2002	588 XY 68	Gasoil
VSAV 6949	925	OLTINGUE	SDIS	23/11/2004	6949 YM 68	Gasoil
VSAV 4570	930	OTTMARSHEIM	SDIS	11/01/2002	4570 XR 68	Gasoil
VSAV 6947	945	RIBEAUVILLE	SDIS	23/11/2004	6947 YM 68	Gasoil
VSAV 6950	963	ROUFFACH	SDIS	23/11/2004	6950 YM 68	Gasoil
VSAV 2391	968	SAINT AMARIN	SDIS	29/07/2005	2391 YS 68	Gasoil
VSAV 4571		SAINT AMARIN	SDIS	11/01/2002	4571 XR 68	Gasoil
VSAV 100	973	SAINT LOUIS	SDIS	03/08/2006	100 ZA 68	Gasoil
VSAV 1526		SAINT LOUIS	SDIS	30/07/2008	1526 ZQ 68	Gasoil
VSAV 211		SAINT LOUIS	SDIS	01/10/2007	211 ZJ 68	Gasoil
VSAV 1618		SAINT LOUIS (réserve)	SDIS	29/07/1997	1618 WK 68	Essence
VSAV 98	974	SAINTE MARIE AUX MIN	SDIS	03/08/2006	98 ZA 68	Gasoil
VSAV 6761	981	SEPPOIS LE BAS	SDIS	30/06/2003	6761 YC 68	Gasoil
VSAV 6763	991	SOULTZ	SDIS	30/06/2003	6763 YC 68	Gasoil
VSAV 8428	993	SOULTZEREN	SDIS	15/10/1998	8428 WR 68	Essence
VSAV 2392	98	THANN	SDIS	29/07/2005	2392 YS 68	Gasoil
VSAV 4574		THANN	SDIS	11/01/2002	4574 XR 68	Gasoil
VSAV 294	1013	TURCKHEIM	SDIS	01/10/2007	294 ZJ 68	Gasoil
VSAV 6952	1028	WALDIGHOFFEN	SDIS	23/11/2004	6952 YM 68	Gasoil
VSAV 2420	1047	WITTELSHEIM	SDIS	29/07/2005	2420 YS 68	Gasoil
VSAV 587	1048	WITTENHEIM	SDIS	22/10/2002	587 XY 68	Gasoil
VLI 3114		ALTKIRCH	SDIS	23/05/2007	3114 ZF 68	Gasoil
VLI 3115		SOULTZ	SDIS	23/05/2007	3115 ZF 68	Gasoil
